"id","uid","user","num_changes","date","imagery_used","hashtags","created_by","min_lat","max_lat","min_lon","max_lon"
"88514011","38591","hatochan","483","2020-07-26",,,"JOSM/1.5 (16731 ja)","33.2700088","33.2971242","130.3853257","130.3968582"
"88514010","1698926","stinkmoloch","3","2020-07-26",,,"StreetComplete 20.0","52.3178134","52.3191663","7.3409232","7.3435630"
"88514009","606555","marczoutendijk","5","2020-07-26",,,"JOSM/1.5 (16731 nl)","51.6582462","51.6586129","5.3056946","5.3065371"
"88514008","9352851","Andrej S","1","2020-07-26","EsriWorldImagery",,"iD 2.18.3","48.7412375","48.7413401","32.2936404","32.2938684"
"88514007","2764744","tipuraneo","2","2020-07-26","GEOSN-DOP-RGB",,"iD 2.18.3","51.3358783","51.3474752","12.3710204","12.3744057"
"88514006","9355632","Pitastrudl","2","2020-07-26",,,"StreetComplete 21.2","45.5363402","45.5364700","13.7209342","13.7218730"
"88514005","1698926","stinkmoloch","7","2020-07-26",,,"StreetComplete 20.0","52.3178134","52.3243782","7.3345799","7.3444317"
"88514004","5294","lutz","6","2020-07-26",,,"JOSM/1.5 (16806 de)","52.3297065","52.3363557","9.4920184","9.4982784"
"88514003","1550808","marcogino","173","2020-07-26",,,"JOSM/1.5 (16731 it)","45.7700770","45.7976553","7.1226817","7.1362706"
"88514002","454467","Koun","17","2020-07-26","fr.ign.bdortho",,"iD 2.18.3","48.1433911","48.1461889","-1.9156947","-1.9064336"
"88514001","4536943","RenaultGT","2","2020-07-26","Bing",,"iD 2.18.3","45.5916172","45.5926083","9.8083430","9.8091831"
"88514000","11318731","Stephanievr","1","2020-07-26","South_Africa-CD_NGI-Aerial",,"iD 2.18.3","-26.3602007","-26.3601527","28.2286050","28.2291113"
"88513999","11272501","ffvierkirchen","2","2020-07-26","Bing",,"iD 2.18.3","48.3659786","48.3661198","11.4791981","11.4794198"
"88513998","84642","mdelatorre","2","2020-07-26",,,"JOSM/1.5 (16731 en)","19.4041055","19.4057970","-99.2763582","-99.2751440"
"88513997","334075","eggie","12","2020-07-26",,,"JOSM/1.5 (16239 nl)","51.8486341","51.8503722","5.7649037","5.7707312"
"88513996","10252542","karmsudi","13","2020-07-26","Esri World Imagery;Bing Streetside;Mapillary Images;Mapillary Map Features;Mapillary Signs;OpenStreetCam Images",,"iD 2.17.2","50.8817560","50.8841066","12.0987092","12.1016400"
